ID,Year,Month,Day,Lunar_Year,Lunar_Month,Lunar_Day,Holiday,Totall_Holiday,Temperature_Up,Temperature_Down,Weather,visitor_count
93,2011,4,14,2011,3,12,0,0,23,13,4.5,6809
94,2011,4,15,2011,3,13,0,0,23,9,5,7313
95,2011,4,16,2011,3,14,1,2,18,7,2,7956
96,2011,4,17,2011,3,15,2,2,24,12,2,7330
97,2011,4,18,2011,3,16,0,0,26,10,2,5787
98,2011,4,19,2011,3,17,0,0,24,9,2,6809
99,2011,4,20,2011,3,18,0,0,24,11,5.6,5612
100,2011,4,21,2011,3,19,0,0,21,9,6.5,6844
101,2011,4,22,2011,3,20,0,0,22,11,4,8152
102,2011,4,23,2011,3,21,1,2,24,11,2,9651
103,2011,4,24,2011,3,22,2,2,26,11,2,8878
104,2011,4,25,2011,3,23,0,0,28,10,2.1,8047
105,2011,4,26,2011,3,24,0,0,32,13,1,8097
106,2011,4,27,2011,3,25,0,0,32,15,1.2,7667
107,2011,4,28,2011,3,26,0,0,32,15,2,7147
108,2011,4,29,2011,3,27,0,0,32,13,2,7710
109,2011,4,30,2011,3,28,1,3,32,15,2,9852
110,2011,5,1,2011,3,29,2,3,25,11,5.6,17614
111,2011,5,2,2011,3,30,3,3,22,7,4.2,6753
112,2011,5,3,2011,4,1,0,0,23,10,4.2,6288
113,2011,5,4,2011,4,2,0,0,23,8,2,5203
114,2011,5,5,2011,4,3,0,0,27,13,1,5826
115,2011,5,6,2011,4,4,0,0,28,11,1.2,7590
116,2011,5,7,2011,4,5,1,2,30,16,2,8870
117,2011,5,8,2011,4,6,2,2,30,15,4.6,7981
118,2011,5,9,2011,4,7,0,0,26,16,5,7328
119,2011,5,10,2011,4,8,0,0,25,14,2.6,7478
120,2011,5,11,2011,4,9,0,0,27,14,4.2,8101
121,2011,5,12,2011,4,10,0,0,23,13,2.5,9581
122,2011,5,13,2011,4,11,0,0,21,11,5.6,9861
123,2011,5,14,2011,4,12,1,2,19,11,5,9901
